id,listing_url,host_id,host_name,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,has_availability,review_scores_rating,instant_bookable
37213903,https://www.airbnb.com/rooms/37213903,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88301,-159.46821,Entire rental unit,Entire home/apt,4,2 baths,3,$309.00,t,4.75,t
882626363371710267,https://www.airbnb.com/rooms/882626363371710267,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88053,-159.47122,Entire home/apt,Entire home/apt,6,2 baths,2,$1050.00,t,4,t
41744975,https://www.airbnb.com/rooms/41744975,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88345,-159.48001,Entire home,Entire home/apt,6,3.5 baths,4,$1942.00,t,5,t
41712040,https://www.airbnb.com/rooms/41712040,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88623,-159.47311,Entire home,Entire home/apt,10,4.5 baths,5,$1102.00,t,5,t
13978008,https://www.airbnb.com/rooms/13978008,83374887,Susan,t,Koloa-Poipu,Kauai,21.88173,-159.47565,Entire condo,Entire home/apt,6,2 baths,2,$450.00,t,5,f
53721444,https://www.airbnb.com/rooms/53721444,435094050,Blythe,f,Koloa-Poipu,Kauai,21.89214,-159.45874,Entire home,Entire home/apt,8,4 baths,5,$864.00,t,4.98,f
52407186,https://www.airbnb.com/rooms/52407186,152523079,Kristen,t,Koloa-Poipu,Kauai,21.88524,-159.45712,Entire condo,Entire home/apt,6,2 baths,4,$364.00,t,5,t
628947580846740523,https://www.airbnb.com/rooms/628947580846740523,97006413,Suite Paradise,t,Koloa-Poipu,Kauai,21.88633,-159.46119,Entire home,Entire home/apt,10,4.5 baths,6,$860.00,t,5,t
41911914,https://www.airbnb.com/rooms/41911914,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88252,-159.46872,Entire condo,Entire home/apt,2,1 bath,1,$236.00,t,4.89,t
712425852177778817,https://www.airbnb.com/rooms/712425852177778817,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87268,-159.44342,Entire home/apt,Entire home/apt,4,1.5 baths,2,$236.00,t,5,t
53827194,https://www.airbnb.com/rooms/53827194,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87484,-159.44359,Entire home/apt,Entire home/apt,6,2 baths,3,$341.00,t,4.69,t
50388624,https://www.airbnb.com/rooms/50388624,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87851,-159.46511,Entire home/apt,Entire home/apt,4,2 baths,2,$488.00,t,5,t
41177491,https://www.airbnb.com/rooms/41177491,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87679,-159.46367,Entire condo,Entire home/apt,4,2 baths,1,$393.00,t,4.43,t
41194718,https://www.airbnb.com/rooms/41194718,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87784,-159.46572,Entire condo,Entire home/apt,2,2 baths,1,$341.00,t,4.38,t
41403730,https://www.airbnb.com/rooms/41403730,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88148,-159.46632,Entire condo,Entire home/apt,4,2 baths,2,$551.00,t,4.67,t
51144717,https://www.airbnb.com/rooms/51144717,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88348,-159.45716,Entire home/apt,Entire home/apt,4,2.5 baths,2,$315.00,t,4.83,t
37213465,https://www.airbnb.com/rooms/37213465,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88352,-159.45721,Entire rental unit,Entire home/apt,6,3 baths,3,$414.00,t,4.95,t
51261341,https://www.airbnb.com/rooms/51261341,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87361,-159.44609,Entire home/apt,Entire home/apt,6,3 baths,4,$630.00,t,5,t
41178264,https://www.airbnb.com/rooms/41178264,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87736,-159.46379,Entire condo,Entire home/apt,4,2 baths,2,$367.00,t,5,t
37213519,https://www.airbnb.com/rooms/37213519,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87853,-159.46371,Entire rental unit,Entire home/apt,4,3 baths,3,$546.00,t,4.83,t
35667137,https://www.airbnb.com/rooms/35667137,145038404,Trevor,t,Koloa-Poipu,Kauai,21.88253,-159.47353,Entire condo,Entire home/apt,4,1 bath,2,$169.00,t,4.74,f
40943454,https://www.airbnb.com/rooms/40943454,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87316,-159.44754,Entire condo,Entire home/apt,6,2 baths,2,$446.00,t,5,t
40916794,https://www.airbnb.com/rooms/40916794,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87334,-159.44891,Entire condo,Entire home/apt,6,2 baths,3,$551.00,t,5,t
41023024,https://www.airbnb.com/rooms/41023024,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87379,-159.44734,Entire condo,Entire home/apt,6,3 baths,2,$467.00,t,5,t
653605622111253129,https://www.airbnb.com/rooms/653605622111253129,136814313,Paul,t,Koloa-Poipu,Kauai,21.87003,-159.4453,Entire condo,Entire home/apt,6,3 baths,4,$879.00,t,5,t
37213496,https://www.airbnb.com/rooms/37213496,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87806,-159.4639,Entire rental unit,Entire home/apt,4,3 baths,2,$498.00,t,5,t
41617979,https://www.airbnb.com/rooms/41617979,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88161,-159.4714,Entire home,Entire home/apt,4,2 baths,2,$262.00,t,4.5,t
37213954,https://www.airbnb.com/rooms/37213954,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87986,-159.46984,Entire rental unit,Entire home/apt,4,2 baths,2,$525.00,t,4.86,t
41713339,https://www.airbnb.com/rooms/41713339,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88478,-159.47682,Entire home,Entire home/apt,4,2 baths,2,$682.00,t,5,t
840772170059773888,https://www.airbnb.com/rooms/840772170059773888,502793483,Steve And Monique,t,Koloa-Poipu,Kauai,21.88096705,-159.4711349,Entire rental unit,Entire home/apt,4,1 bath,2,$235.00,t,4.84,f
19227747,https://www.airbnb.com/rooms/19227747,66818469,NingGulari,t,Koloa-Poipu,Kauai,21.87094,-159.44515,Entire home,Entire home/apt,10,4.5 baths,4,$1866.00,t,5,f
35667159,https://www.airbnb.com/rooms/35667159,145038404,Trevor,t,Koloa-Poipu,Kauai,21.88266,-159.47371,Entire condo,Entire home/apt,2,1 bath,1,$169.00,t,4.63,f
41350021,https://www.airbnb.com/rooms/41350021,42618840,Vacasa Kauai,t,Koloa-Poipu,Kauai,21.87803,-159.46169,Entire rental unit,Entire home/apt,4,1 bath,2,$255.00,t,4.46,t
41932752,https://www.airbnb.com/rooms/41932752,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88264,-159.47943,Entire condo,Entire home/apt,8,4 baths,4,$2310.00,t,5,t
48213760,https://www.airbnb.com/rooms/48213760,152523079,Kristen,t,Koloa-Poipu,Kauai,21.88554,-159.45867,Entire condo,Entire home/apt,8,3 baths,5,$425.00,t,4.89,t
37213256,https://www.airbnb.com/rooms/37213256,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88539,-159.45706,Entire rental unit,Entire home/apt,6,3 baths,4,$367.00,t,4.95,t
50364116,https://www.airbnb.com/rooms/50364116,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88559,-159.45752,Entire home/apt,Entire home/apt,9,2.5 baths,7,$420.00,t,4.84,t
882639456771651573,https://www.airbnb.com/rooms/882639456771651573,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.89118,-159.46207,Entire home/apt,Entire home/apt,7,3 baths,4,$787.00,t,5,t
785577976997602220,https://www.airbnb.com/rooms/785577976997602220,439429870,Luxury,t,Koloa-Poipu,Kauai,21.87032901,-159.444145,Entire rental unit,Entire home/apt,6,2 baths,4,$315.00,t,5,f
41196313,https://www.airbnb.com/rooms/41196313,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87725,-159.46367,Entire condo,Entire home/apt,6,3 baths,3,$519.00,t,5,t
51143779,https://www.airbnb.com/rooms/51143779,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88223,-159.44777,Entire home/apt,Entire home/apt,4,2 baths,3,$288.00,t,5,t
48954078,https://www.airbnb.com/rooms/48954078,10548519,Vacasa Hawaii,t,Koloa-Poipu,Kauai,21.86866,-159.44431,Entire condo,Entire home/apt,4,2.5 baths,2,$377.00,t,4.57,t
763089178907397476,https://www.airbnb.com/rooms/763089178907397476,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87431,-159.44351,Entire home/apt,Entire home/apt,5,2 baths,3,$288.00,t,5,t
41407145,https://www.airbnb.com/rooms/41407145,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87307,-159.44522,Entire rental unit,Entire home/apt,4,2 baths,2,$262.00,t,4.32,t
52653016,https://www.airbnb.com/rooms/52653016,152523079,Kristen,t,Koloa-Poipu,Kauai,21.87032,-159.44527,Entire condo,Entire home/apt,8,2.5 baths,5,$401.00,t,4.75,t
41030182,https://www.airbnb.com/rooms/41030182,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87179,-159.44877,Entire condo,Entire home/apt,6,2 baths,4,$341.00,t,4.57,t
53523074,https://www.airbnb.com/rooms/53523074,422356582,Deann K,t,Koloa-Poipu,Kauai,21.87702881,-159.4561832,Entire condo,Entire home/apt,4,1 bath,2,$286.00,t,4.98,f
41027180,https://www.airbnb.com/rooms/41027180,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87201,-159.44911,Entire condo,Entire home/apt,6,2 baths,4,$414.00,t,4.8,t
43096375,https://www.airbnb.com/rooms/43096375,59898800,Buzz,t,Koloa-Poipu,Kauai,21.8735,-159.44899,Entire home,Entire home/apt,6,4 baths,4,$647.00,t,4.95,f
48976074,https://www.airbnb.com/rooms/48976074,189104995,Kauai Kahuna,t,Koloa-Poipu,Kauai,21.87467,-159.45055,Entire condo,Entire home/apt,2,1 bath,1,$210.00,t,4.13,t
50364217,https://www.airbnb.com/rooms/50364217,128058869,Tina,t,Koloa-Poipu,Kauai,21.871014,-159.447636,Entire condo,Entire home/apt,3,1 bath,2,$460.00,t,4.9,t
52932758,https://www.airbnb.com/rooms/52932758,6521227,Rico & Cinzia,t,Koloa-Poipu,Kauai,21.87356,-159.44907,Entire home,Entire home/apt,10,2 baths,6,$531.00,t,4.85,f
51356610,https://www.airbnb.com/rooms/51356610,6521227,Rico & Cinzia,t,Koloa-Poipu,Kauai,21.87351,-159.4524,Entire home,Entire home/apt,6,1 bath,4,$488.00,t,4.82,f
34796116,https://www.airbnb.com/rooms/34796116,126959445,Crystal,t,Koloa-Poipu,Kauai,21.87048,-159.44638,Entire rental unit,Entire home/apt,6,2 baths,3,$394.00,t,4.48,t
660100016001677316,https://www.airbnb.com/rooms/660100016001677316,70434796,Patricia,f,Koloa-Poipu,Kauai,21.87507,-159.4467506,Entire condo,Entire home/apt,6,2.5 baths,4,$423.00,t,4.69,f
41715190,https://www.airbnb.com/rooms/41715190,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87351,-159.45024,Entire home,Entire home/apt,6,4 baths,3,$519.00,t,5,t
1483081,https://www.airbnb.com/rooms/1483081,7933497,Susan,t,Koloa-Poipu,Kauai,21.87471581,-159.447403,Entire condo,Entire home/apt,8,2.5 baths,5,$389.00,t,4.85,f
8104572,https://www.airbnb.com/rooms/8104572,42618840,Vacasa Kauai,t,Koloa-Poipu,Kauai,21.875103,-159.446823,Entire condo,Entire home/apt,4,2 baths,3,$294.00,t,4.82,t
